,44,78,91,131,150,154,164,167,183,603,2252,2261,2290,2306,2485,2700,2704,2812,3875,4887,4896,4911,5029,5099,5100,5109,5142,5279,5349,5371,5397,5404,7075,7106,7187,7319,7329,7330,7331,7341,7369,7370,7374,7389,7393,7394,7396,7403,7412,7432,13674,13777,15000,15555
2020-01-01,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89
2020-01-02,7.26,7.15,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.11,7.26,7.26,7.11,7.14,7.26,7.26,7.2,7.26,7.26,7.26,7.26,7.13,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26
2020-01-03,7.26,7.15,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.11,7.26,7.26,7.11,7.14,7.26,7.26,7.2,7.26,7.26,7.26,7.26,7.13,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26
2020-01-04,7.26,7.15,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.11,7.26,7.26,7.11,7.14,7.26,7.26,7.2,7.26,7.26,7.26,7.26,7.13,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26
2020-01-05,7.26,7.15,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.11,7.26,7.26,7.11,7.14,7.26,7.26,7.2,7.26,7.26,7.26,7.26,7.13,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26
2020-01-06,7.26,7.15,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.11,7.26,7.26,7.11,7.14,7.26,7.26,7.2,7.26,7.26,7.26,7.26,7.13,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26
2020-01-07,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89
2020-01-08,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89
2020-01-09,7.26,7.18,7.26,7.14,7.2,7.15,7.13,7.26,7.26,7.26,7.26,7.26,7.26,7.2,7.14,7.26,7.13,7.26,7.26,7.26,7.18,7.2,7.26,7.2,7.13,7.26,7.26,7.26,7.26,7.26,7.11,7.26,7.18,7.18,7.14,7.26,7.15,7.1,7.26,7.26,7.26,7.26,7.14,7.26,7.15,7.26,7.26,7.26,7.26,7.26,7.13,7.26,7.18,7.26
